motorcycle,image,motorcycleLabel,manufacturer,manufacturerLabel
http://www.wikidata.org/entity/Q15825395,http://commons.wikimedia.org/wiki/Special:FilePath/Laverda-v6.jpg,Q15825395,http://www.wikidata.org/entity/Q1808905,Laverda
http://www.wikidata.org/entity/Q15987088,http://commons.wikimedia.org/wiki/Special:FilePath/1980%20Harley%20Davidson%20XR750%201.jpg,Harley-Davidson XR-750,http://www.wikidata.org/entity/Q192814,Harley-Davidson
http://www.wikidata.org/entity/Q17189754,http://commons.wikimedia.org/wiki/Special:FilePath/Gpz400r%203.jpg,Q17189754,http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries
http://www.wikidata.org/entity/Q17622828,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20247%201968.JPG,Montesa Cota 247,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q18157027,http://commons.wikimedia.org/wiki/Special:FilePath/A%20PB%20Vesco-Kawasaki05.jpg,Silver Bird,http://www.wikidata.org/entity/Q1239554,Don Vesco
http://www.wikidata.org/entity/Q18163039,http://commons.wikimedia.org/wiki/Special:FilePath/BMW%20R100RS.jpg,BMW R100,http://www.wikidata.org/entity/Q249173,BMW Motorrad
http://www.wikidata.org/entity/Q18327574,http://commons.wikimedia.org/wiki/Special:FilePath/Daelim%20vs%20125.jpg,Daelim VS 125,http://www.wikidata.org/entity/Q55736867,DNA Motors
http://www.wikidata.org/entity/Q18387355,http://commons.wikimedia.org/wiki/Special:FilePath/Kawasaki%20Ninja%20H2.jpg,Kawasaki Ninja H2,http://www.wikidata.org/entity/Q249033,Kawasaki Heavy Industries Motorcycle & Engine
http://www.wikidata.org/entity/Q18695776,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Alpina%20250%202012%20522.jpg,Bultaco Alpina,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q18695777,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Lobito%20MK3%20125cc%201969.JPG,Bultaco Lobito,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q18695779,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Tralla%20101%20red%201959.JPG,Bultaco Tralla,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q18695780,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20TSS%20MK2%2050cc%20GP%201976%20World%20Champion.jpg,Bultaco TSS Mk2,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q18696649,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20250%20Trial%201968.JPG,Montesa 250 Trial,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q18696650,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cappra%20GP%20250%201968.JPG,Montesa Cappra,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q18696651,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%2025%201974.JPG,Montesa Cota 25,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q18696652,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%2049%201978%20x.JPG,Montesa Cota 49,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q18696653,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20123%201972%20x.JPG,Montesa Cota 123,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q18696654,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20348%201977.JPG,Montesa Cota 348,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q18696655,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20349%201980.JPG,Montesa Cota 349,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q18918186,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Matador%20MK5%20Six%20Days%201973%2001.JPG,Bultaco Matador,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q19376262,http://commons.wikimedia.org/wiki/Special:FilePath/Benelli%20Sei%20900%206-Zylinder.jpg,Benelli 900 Sei,http://www.wikidata.org/entity/Q817107,Benelli
http://www.wikidata.org/entity/Q19580203,http://commons.wikimedia.org/wiki/Special:FilePath/Ariel%203%20cropped.JPG,Ariel 3,http://www.wikidata.org/entity/Q686178,Birmingham Small Arms Company
http://www.wikidata.org/entity/Q19757761,http://commons.wikimedia.org/wiki/Special:FilePath/Suzuki%20Gixxer.jpg,Suzuki Gixxer,http://www.wikidata.org/entity/Q28153885,Suzuki Motorcycle India Limited
http://www.wikidata.org/entity/Q20076361,http://commons.wikimedia.org/wiki/Special:FilePath/ScooterC.JPG,Honda SH50,http://www.wikidata.org/entity/Q9584,Honda
http://www.wikidata.org/entity/Q20102936,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20frontera%20mk%20ii%20250.jpg,Bultaco Frontera,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q20103739,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20250cc%20Two%20Cylinders%201966%20c.JPG,Montesa 250cc Twin,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q20103951,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Sprint%201956%20TT%20125cc%20left.JPG,Montesa Sprint,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q20105744,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20A45%2098cc%201945%20right.JPG,Montesa A-45,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q20106099,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Brio%2081cc%20%281956%29%2020120213.jpg,Montesa Brio,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q20106327,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Cazarecords%20175cc%201960%20b.JPG,Bultaco Cazarecords,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q20107988,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Enduro%20360%20H7%201984.jpg,Montesa Enduro,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q20181788,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Salon%20de%20la%20moto%202011%20-%20Aprilia%20-%20SRV%20850%20-%20001.jpg,Aprilia SRV 850,http://www.wikidata.org/entity/Q622062,Aprilia
http://www.wikidata.org/entity/Q20190532,http://commons.wikimedia.org/wiki/Special:FilePath/Harley-Davidson%20FHA%208-Valve%20Racer.jpg,Harley-Davidson Model 8-Valve Board Track Racer,http://www.wikidata.org/entity/Q192814,Harley-Davidson
http://www.wikidata.org/entity/Q20311808,http://commons.wikimedia.org/wiki/Special:FilePath/Ariel%20Ace.jpg,Ariel Ace,http://www.wikidata.org/entity/Q202888,Ariel
http://www.wikidata.org/entity/Q20830870,http://commons.wikimedia.org/wiki/Special:FilePath/Derbi%2098%201955%20b.JPG,Derbi 98cc,http://www.wikidata.org/entity/Q1199957,Derbi
http://www.wikidata.org/entity/Q20874997,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Gaviota%20200cc%201970%20b.JPG,Bultaco Gaviota,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q20875238,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Impala%20Cross%20250%2013M%202476%20b.jpg,Montesa Impala Cross,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q20875243,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Impala%20Kenya%201966.JPG,Montesa Impala Kenya,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q20875245,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20LA%20Cross%2066%2023M%202476%20a.jpg,Montesa LA Cross 66,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q20875249,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Texas%20175%201966%2012M%201747%20a.jpg,Montesa Texas,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q21207554,http://commons.wikimedia.org/wiki/Special:FilePath/Mazzoncini%20su%20Vespa%20siluro%201951.jpg,Q21207554,http://www.wikidata.org/entity/Q217673,Vespa
http://www.wikidata.org/entity/Q23637317,http://commons.wikimedia.org/wiki/Special:FilePath/BMW%20G%20310%20R.jpg,BMW G310R,http://www.wikidata.org/entity/Q249173,BMW Motorrad
http://www.wikidata.org/entity/Q23746836,http://commons.wikimedia.org/wiki/Special:FilePath/Gilera%20H%40K%2050.jpg,Gilera H@K,http://www.wikidata.org/entity/Q745394,Gilera
http://www.wikidata.org/entity/Q23803413,http://commons.wikimedia.org/wiki/Special:FilePath/Aprilia%20Tuono%201000R%20black.jpg,Aprilia Tuono 1000R,http://www.wikidata.org/entity/Q622062,Aprilia
http://www.wikidata.org/entity/Q24081340,http://commons.wikimedia.org/wiki/Special:FilePath/Kawasaki%20VN%20800%20Drifter%20%22General%20Lee%22.jpg,Kawasaki VN 800 Drifter,http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries
http://www.wikidata.org/entity/Q24081362,http://commons.wikimedia.org/wiki/Special:FilePath/Kawasaki%20Vulcan%201500%20%282000%29.jpg,Kawasaki VN 1500,http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries
http://www.wikidata.org/entity/Q24091528,http://commons.wikimedia.org/wiki/Special:FilePath/Kawasaki%20VN%20800.JPG,Kawasaki VN 800,http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries
http://www.wikidata.org/entity/Q24282798,http://commons.wikimedia.org/wiki/Special:FilePath/Ogar%204%20%281939%29.jpg,Ogar 4,http://www.wikidata.org/entity/Q2565503,Ogar
http://www.wikidata.org/entity/Q24939994,http://commons.wikimedia.org/wiki/Special:FilePath/Malanca%20125%20white.jpg,Q24939994,http://www.wikidata.org/entity/Q2216316,Malanca
http://www.wikidata.org/entity/Q24940798,http://commons.wikimedia.org/wiki/Special:FilePath/Garelli%20Katia.jpg,Garelli Katia,http://www.wikidata.org/entity/Q921017,Garelli
http://www.wikidata.org/entity/Q25110975,http://commons.wikimedia.org/wiki/Special:FilePath/KTM%20MotoGP%20Bike%20RC16.jpg,KTM RC16,http://www.wikidata.org/entity/Q215657,KTM
http://www.wikidata.org/entity/Q28154257,http://commons.wikimedia.org/wiki/Special:FilePath/Kawasaki%20Z300SE.jpg,Kawasaki Z300,http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries
http://www.wikidata.org/entity/Q29112907,http://commons.wikimedia.org/wiki/Special:FilePath/ABC%20french%20918.JPG,A.B.C. (All British Engine Company Ltd) motocyclette,http://www.wikidata.org/entity/Q1533321,Gnome et Rhône
http://www.wikidata.org/entity/Q29388400,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20El%20Bandido%20Mk1%20360cc%201967.jpg,Bultaco El Bandido,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q29440957,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20El%20Montadero%20360%20Mk1%201968.jpg,Bultaco El Montadero,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q29512939,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20El%20Tigre%20250%201969%20a.jpg,Bultaco El Tigre,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q29579005,http://commons.wikimedia.org/wiki/Special:FilePath/Jawa%2090.JPG,Jawa 90,http://www.wikidata.org/entity/Q763622,Jawa
http://www.wikidata.org/entity/Q29786957,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Sherpa%20S%20125%201964%2001.JPG,Bultaco Sherpa S,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q29891217,http://commons.wikimedia.org/wiki/Special:FilePath/Tomos%20APN%20-%204MS.jpg,Tomos APN 4,http://www.wikidata.org/entity/Q1382207,Tomos
http://www.wikidata.org/entity/Q30073466,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20155%20Sidecar%201961%2003.JPG,Bultaco 155,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q30074091,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20200%201962.JPG,Bultaco 200,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q30100622,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Saturno%20200cc%20%281965%29%2020120213.jpg,Bultaco Saturno,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q30106395,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Senior%20175%201966.jpg,Bultaco Senior,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q30160444,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Mercurio%20155.JPG,Bultaco Mercurio,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q30250478,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Junior%20GT2%2074%201973.JPG,Bultaco Junior,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q30505681,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20360cc%2024H%20Montjuic%201969%20b.JPG,Bultaco 360 24 Hores,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q30890691,http://commons.wikimedia.org/wiki/Special:FilePath/Ducati750Sport.jpg,Ducati 750 Sport,http://www.wikidata.org/entity/Q271812,Ducati Motor Holding
http://www.wikidata.org/entity/Q31049465,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20King%20Scorpion%20250%201972%20c.JPG,Montesa King Scorpion,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q31074256,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Tiron%20100%201971.jpg,Bultaco Tirón,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q31074671,http://commons.wikimedia.org/wiki/Special:FilePath/Bultaco%20Campera%20Nacional%20175%201966.JPG,Bultaco Campera,http://www.wikidata.org/entity/Q204022,Bultaco
http://www.wikidata.org/entity/Q33035174,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Rapita%20250%20Automix%201974.jpg,Montesa Rapita,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q33113206,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Ciclo%201965.JPG,Montesa Ciclo,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q34393922,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20B-46%2049%20125cc%201946%20c.JPG,Montesa B-46/49,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q35006391,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20D51%201951%20MB%201249.jpg,Montesa D-51,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q35139369,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20150%201959%20b.JPG,Montesa 150,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q36835118,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20330%201985.JPG,Montesa Cota 330,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q37116464,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20200%201980%20b.JPG,Montesa Cota 200,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q37930307,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20310%201989%20c.JPG,Montesa Cota 310,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q38094409,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20311%201992.JPG,Montesa Cota 311,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q38258497,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20315R%202002.jpg,Montesa Cota 315R,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q38264289,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20300RR%20300cc%202017%20a.jpg,Montesa Cota 300RR,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q111830433,http://commons.wikimedia.org/wiki/Special:FilePath/Ducati%20DesertX%20in%20Barcelona%20%28edited%29.jpg,Ducati DesertX,http://www.wikidata.org/entity/Q271812,Ducati Motor Holding
http://www.wikidata.org/entity/Q112577883,http://commons.wikimedia.org/wiki/Special:FilePath/2021%20Yamaha%20YZF-R7.jpg,Yamaha YZF-R7 (2022),http://www.wikidata.org/entity/Q158888,Yamaha
http://www.wikidata.org/entity/Q114354940,http://commons.wikimedia.org/wiki/Special:FilePath/2017-09-14%20%28134%29%20Aprilia%20RX%2050%20at%20Bahnhof%20Loosdorf%2C%20Austria.jpg,Aprilia RX 50,http://www.wikidata.org/entity/Q622062,Aprilia
http://www.wikidata.org/entity/Q114354963,http://commons.wikimedia.org/wiki/Special:FilePath/Aprila%20RXV%20450.jpg,Aprilia RXV 450,http://www.wikidata.org/entity/Q622062,Aprilia
http://www.wikidata.org/entity/Q115651110,http://commons.wikimedia.org/wiki/Special:FilePath/Mustad.jpg,Mustad Folkscooter 111,http://www.wikidata.org/entity/Q115620516,AB O. Mustad & Son
http://www.wikidata.org/entity/Q115902106,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%2074%201978.jpg,Montesa Cota 74,http://www.wikidata.org/entity/Q1946170,Montesa
http://www.wikidata.org/entity/Q115902114,http://commons.wikimedia.org/wiki/Special:FilePath/Montesa%20Cota%20172%20green%20circa%201978.jpg,Montesa Cota 172,http://www.wikidata.org/entity/Q1946170,Montesa
