exoplanetLabel,image,constellationLabel
HD 4113 Ab,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20HD%204113%20b.png,Sculpteur
Kepler-70 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-70b.png,Cygne
Kepler-17 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-17%20b.jpg,Cygne
Kepler-28b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-28%20b.jpg,Cygne
KIC 10905746 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kic%2010905746%20b.png,Dragon
Gliese 433 b,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20433%20b%20%28Exoplanete%29.jpg,Hydre
HD 222582 b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20HD%20222585%20b.png,Verseau
Kepler-47 b,http://commons.wikimedia.org/wiki/Special:FilePath/Orbiting%20in%20the%20Habitable%20Zone%20of%20Two%20Suns.jpg,Cygne
CoRoT-8 b,http://commons.wikimedia.org/wiki/Special:FilePath/CoRoT-8b%20%28comparision%29.png,Aigle
HD 164509 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%20164509%20b%20-%20wyobra%C5%BCenie%20artysty.jpg,Ophiuchus
Kepler-62f,http://commons.wikimedia.org/wiki/Special:FilePath/This%20artist%27s%20concept%20depicts%20Kepler-62f.jpg,Lyre
Kepler-62e,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-62f%20with%2062e%20as%20Morning%20Star.jpg,Lyre
KELT-3 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20impression%20of%20KELT-9b%20orbiting%20KELT-9.jpg,Petit Lion
HD 95086 b,http://commons.wikimedia.org/wiki/Special:FilePath/VLT%20image%20of%20exoplanet%20HD%2095086%20b.jpg,Carène
Gliese 667 Cd,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20667.jpg,Scorpion
Kepler-33 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-33%20b.jpg,Cygne
GJ 3470 b,http://commons.wikimedia.org/wiki/Special:FilePath/GJ3470b.jpg,Cancer
Gliese 667 Cg,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20667C%20system%20impression.jpg,Scorpion
GJ 504 b,http://commons.wikimedia.org/wiki/Special:FilePath/Astronomers%20Image%20Lowest-mass%20Exoplanet%20Around%20a%20Sun-like%20Star.jpg,Vierge
Kepler-29c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-29%20c.jpg,Cygne
Kepler-29b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-29%20b.jpg,Cygne
Kepler-30c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-30%20c.jpg,Lyre
Kepler-30b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-30%20b.jpg,Lyre
Kepler-78b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-78b.png,Cygne
Kepler-69b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-69%20and%20the%20Solar%20System.jpg,Cygne
Kepler-31b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-31%20b.jpg,Cygne
Kepler-13 Ab,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-13Ab%20%28artist%E2%80%99s%20impression%29.jpg,Lyre
Kepler-90 h,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-90%20MultiExoplanet%20System%20-%2020171214.jpg,Dragon
Kepler-90 f,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-90%20MultiExoplanet%20System%20-%2020171214.jpg,Dragon
Kepler-90 e,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-90%20MultiExoplanet%20System%20-%2020171214.jpg,Dragon
Kepler-186f,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler186f-ArtistConcept-20140417.jpg,Cygne
Kepler-186b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-186%20System.png,Cygne
Kepler-186c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-186%20System.png,Cygne
Kepler-186d,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-186%20System.png,Cygne
Kepler-186e,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-186%20System.png,Cygne
Kepler-138d,http://commons.wikimedia.org/wiki/Special:FilePath/PIA23002%20K2-138%206%20Planets%20Artwork%20%28Artist%27s%20Illustration%29.jpg,Lyre
Kepler-90 b,http://commons.wikimedia.org/wiki/Special:FilePath/17-098-Kepler-90%20MultiExoplanetSystem-20171214.jpg,Dragon
Kepler-90 c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-90%20system%20rightward-PIA22193.jpg,Dragon
Kepler-90 d,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-90%20system%20rightward-PIA22193.jpg,Dragon
Kepler-23b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-23%20b.jpg,Cygne
GU Piscium b,http://commons.wikimedia.org/wiki/Special:FilePath/GUPscb%20GMOSiz%20WIRCamJ%20noinset.jpg,Poissons
Gliese 422 b,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese.JPG,Carène
Gliese 832 c,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20impression%20of%20a%20cloud-covered%20planet%20inspired%20by%20the%20data%20of%20Gliese%20832%20c.png,Grue
OGLE-2013-BLG-0341LB b,http://commons.wikimedia.org/wiki/Special:FilePath/Wizualizacja%20planety%20OGLE-2013-BLG-0341LB%20b.jpg,Sagittaire
Gliese 687 b,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20687.jpg,Dragon
Kepler-442 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler442b%28comp%29.jpg,Lyre
Kepler-23c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-23%20c.jpg,Cygne
Kepler-24b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-24%20b.jpg,Lyre
Kepler-25b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-25%20b.jpg,Lyre
Kepler-26b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-26%20b.jpg,Lyre
Kepler-26c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-26%20c.jpg,Lyre
Kepler-26e,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-62f%20with%2062e%20as%20Morning%20Star.jpg,Lyre
Kepler-27b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-27%20b.jpg,Cygne
Kepler-45b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-45b.jpg,Cygne
Kepler-296 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler296scale.png,Dragon
Kepler-440 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-440b.jpg,Lyre
Kepler-56b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-56%20System%20Diagram.jpg,Cygne
Kepler-56c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-56%20System%20Diagram.jpg,Cygne
Kepler-51b,http://commons.wikimedia.org/wiki/Special:FilePath/STScI-H-p1960b-f3840x3125.png,Cygne
Kepler-51d,http://commons.wikimedia.org/wiki/Special:FilePath/Stsci-h-p1960a-f3840x2160.png,Cygne
Kepler-443b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-443b.jpg,Cygne
HIP 11915 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20Impression%20of%20a%20Jupiter%20twin%20orbiting%20HIP%2011915%20Image.jpg,Baleine
Kepler-452 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-452b%20artist%20concept.jpg,Cygne
HD 219134b,http://commons.wikimedia.org/wiki/Special:FilePath/PIA19833-RockyExoplanet-HD219134b-ArtistConcept-20150730.jpg,Cassiopée
51 Eridani b,http://commons.wikimedia.org/wiki/Special:FilePath/51%20Eridani%20b%20orbit%20animated%20%282014-2018%29.gif,Éridan
Kepler-283 c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-283c.jpg,Cygne
LkCa 15 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artistic%20Impression%20of%20LKCa%2015%20b.jpg,Taureau
Kepler-174 d,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-174d.png,Lyre
Wolf 1061 c,http://commons.wikimedia.org/wiki/Special:FilePath/Wolf1061Trio-typeSystem-ArtistConcept.jpg,Ophiuchus
Wolf 1061d,http://commons.wikimedia.org/wiki/Special:FilePath/Planets%20Under%20a%20Red%20Sun.jpg,Ophiuchus
Wolf 1061b,http://commons.wikimedia.org/wiki/Special:FilePath/Planets%20Under%20a%20Red%20Sun.jpg,Ophiuchus
K2-18 b,http://commons.wikimedia.org/wiki/Special:FilePath/Esa-hubble-k2-18a%20impression.jpg,Lion
TRAPPIST-1b,http://commons.wikimedia.org/wiki/Special:FilePath/TRAPPIST-1b%20artist%20impression%202018.png,Verseau
Kepler-1229b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-1229b.jpg,Cygne
TRAPPIST-1d,http://commons.wikimedia.org/wiki/Special:FilePath/TRAPPIST-1d%20artist%20impression%202018.png,Verseau
Kepler-1647 b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-16.jpg,Cygne
Kepler-1647 b,http://commons.wikimedia.org/wiki/Special:FilePath/KEPLER%201647%20%28AB%29%20b.png,Cygne
TRAPPIST-1c,http://commons.wikimedia.org/wiki/Special:FilePath/TRAPPIST-1c%20artist%20impression%202018.png,Verseau
MOA-2011-BLG-322LB,http://commons.wikimedia.org/wiki/Special:FilePath/Out%20of%20the%20Dust%2C%20A%20Planet%20is%20Born.jpg,Sagittaire
Qatar-3 b,http://commons.wikimedia.org/wiki/Special:FilePath/Qatar-3b.png,Andromède
Qatar-4b,http://commons.wikimedia.org/wiki/Special:FilePath/Qatar-4b.png,Andromède
KELT-6 b,http://commons.wikimedia.org/wiki/Special:FilePath/KELT-6b%20comparision.png,Chevelure de Bérénice
K2-33 b,http://commons.wikimedia.org/wiki/Special:FilePath/Comparing%20K2-33%20to%20our%20Solar%20System.jpg,Scorpion
Proxima Centauri b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20impression%20of%20Proxima%20Centauri%20b%20shown%20hypothetically%20as%20an%20arid%20rocky%20super-earth.jpg,Centaure
OGLE-2007-BLG-349(AB)b,http://commons.wikimedia.org/wiki/Special:FilePath/OGLE-2007-BLG-349L%20system.jpg,Sagittaire
Kepler-1520b,http://commons.wikimedia.org/wiki/Special:FilePath/KIC%2012557548.jpg,Cygne
WD 1145+017 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20impression%20of%20a%20white%20dwarf%20devouring%20a%20minor%20planet.jpg,Vierge
Kepler-174c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler174c.jpg,Lyre
Kepler-174b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-174%20b.png,Lyre
Kepler-242b,http://commons.wikimedia.org/wiki/Special:FilePath/Hot%20Neptune%20Kepler-242%20b.jpg,Lyre
