exoplanetLabel,image,constellationLabel
Kepler-18b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-18%20b%20comparative.jpg,Cygne
Kepler-21b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-21%20b.jpg,Lyre
Kepler-42b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20conception%20of%20Kepler-42.jpg,Cygne
Kepler-42c,http://commons.wikimedia.org/wiki/Special:FilePath/Comparing%20the%20size%20of%20Earth%2C%20Mars%2C%20and%20exoplanets%20of%20Kepler-20%20and%20Kepler-42.jpg,Cygne
Kepler-38b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler38gcrop.jpg,Lyre
HD 13189 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2013189%20b%20Planet.png,Triangle
TrES-2b,http://commons.wikimedia.org/wiki/Special:FilePath/TrES-2b.jpg,Dragon
TrES-2b,http://commons.wikimedia.org/wiki/Special:FilePath/Jkv.TrES-2b.png,Dragon
WASP-33 b,http://commons.wikimedia.org/wiki/Special:FilePath/15-121a-HubbleDetectsStratosphereOnWASP33b-20150611.jpg,Andromède
WASP-33 b,http://commons.wikimedia.org/wiki/Special:FilePath/Hot%20Jupiter%20planet%20WASP-33b.jpg,Andromède
WASP-44b,http://commons.wikimedia.org/wiki/Special:FilePath/WASP-4b.jpg,Baleine
WASP-43b,http://commons.wikimedia.org/wiki/Special:FilePath/Exoplanet%20WASP-43b%20orbits%20its%20parent%20star.jpg,Sextant
HD 16417 b,http://commons.wikimedia.org/wiki/Special:FilePath/PlanetQuest-HD16417b.png,Fourneau
Kepler-37b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-37b.jpg,Lyre
HD 7924 b,http://commons.wikimedia.org/wiki/Special:FilePath/PlanetQuest-HD7924b.png,Cassiopée
HD 45364 b,http://commons.wikimedia.org/wiki/Special:FilePath/Jkv.HD45364.b.png,Grand Chien
HD 45364 c,http://commons.wikimedia.org/wiki/Special:FilePath/Jkv.HD45364.c.png,Grand Chien
HD 86226 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2086226%20G2V.jpeg,Hydre
Gamma1 Leonis b,http://commons.wikimedia.org/wiki/Special:FilePath/Gamma1%20Leonis%20b.png,Lion
HD 205739 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%20205739%20b.jpg,Poisson austral
Kepler-37c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-37%20system.png,Lyre
Kepler-16b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-16.jpg,Cygne
Iota Horologii b,http://commons.wikimedia.org/wiki/Special:FilePath/Rings%20of%20Iota%20Horologii%20b.jpg,Horloge
HD 189733 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20impression%20of%20the%20deep%20blue%20planet%20HD%20189733b.jpg,Petit Renard
HAT-P-4b,http://commons.wikimedia.org/wiki/Special:FilePath/HAT-P-4-transit.jpg,Bouvier
2M1207 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20rendering%20of%20the%202M1207%20System.jpg,Centaure
BD+20 2457 b,http://commons.wikimedia.org/wiki/Special:FilePath/BD%2B20%202457%20B%20planet.png,Lion
Gliese 581 b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20Gliese%20581%20b.png,Balance
OGLE-2005-BLG-390Lb,http://commons.wikimedia.org/wiki/Special:FilePath/OGLE-2005-BLG-390Lb%20planet.jpg,Scorpion
TrES-4,http://commons.wikimedia.org/wiki/Special:FilePath/TrES-4%20b.jpg,Hercule
Gliese 317 c,http://commons.wikimedia.org/wiki/Special:FilePath/Diagram%20of%20the%20probable%20composition%20of%20the%20Gliese%20317%20Star%20System.png,Boussole
HD 63454 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2063454%20b.jpg,Caméléon
